"income","age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","RowID"
"<=50K",35,"Private",56352,"Assoc-voc",11,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Puerto-Rico","Row57"
"<=50K",41,"Private",147372,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States","Row58"
"<=50K",30,"Private",188146,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States","Row59"
"<=50K",30,"Private",59496,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",2407,0,40,"United-States","Row60"
"<=50K",32,,293936,"7th-8th",4,"Married-spouse-absent",,"Not-in-family","White","Male",0,0,40,,"Row61"
"<=50K",48,"Private",149640,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","Row62"
">50K",42,"Private",116632,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","Row63"
"<=50K",29,"Private",105598,"Some-college",10,"Divorced","Tech-support","Not-in-family","White","Male",0,0,58,"United-States","Row64"
"<=50K",36,"Private",155537,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","Row65"
">50K",49,"Self-emp-inc",191681,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States","Row68"
"<=50K",25,,200681,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,40,"United-States","Row69"
"<=50K",19,"Private",101509,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,32,"United-States","Row70"
">50K",29,"Self-emp-not-inc",162298,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States","Row72"
"<=50K",23,"Private",211678,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","Row73"
"<=50K",79,"Private",124744,"Some-college",10,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",0,0,20,"United-States","Row74"
"<=50K",27,"Private",213921,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico","Row75"
"<=50K",40,"Private",32214,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","Row76"
"<=50K",67,,212759,"10th",6,"Married-civ-spouse",,"Husband","White","Male",0,0,2,"United-States","Row77"
"<=50K",31,"Local-gov",125927,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","Row79"
"<=50K",18,"Private",446839,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,30,"United-States","Row80"
"<=50K",52,"Private",276515,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Cuba","Row81"
"<=50K",59,"Private",159937,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","Row83"
">50K",49,"Local-gov",268234,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","Row86"
"<=50K",33,"Private",202051,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","Row87"
"<=50K",30,"Private",54334,"9th",5,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","Row88"
"<=50K",57,"Private",249977,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","Row90"
">50K",34,"Local-gov",226296,"Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","Row94"
"<=50K",29,"Local-gov",115585,"Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,50,"United-States","Row95"
">50K",48,"Self-emp-not-inc",191277,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,60,"United-States","Row96"
">50K",37,"Private",202683,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","Row97"
"<=50K",32,"Federal-gov",249409,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States","Row99"
">50K",76,"Private",124191,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","Row100"
">50K",44,"Private",198282,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,"United-States","Row101"
"<=50K",29,"Private",103432,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","Row104"
">50K",32,"Self-emp-inc",317660,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States","Row105"
"<=50K",30,"Private",194901,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","Row107"
"<=50K",42,"Private",124692,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","Row109"
"<=50K",24,"Private",432376,"Bachelors",13,"Never-married","Sales","Other-relative","White","Male",0,0,40,"United-States","Row110"
">50K",38,"Private",65324,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","Row111"
">50K",56,"Self-emp-not-inc",335605,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,1887,50,"Canada","Row112"
"<=50K",53,"Private",95647,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States","Row115"
"<=50K",56,"Self-emp-inc",303090,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","Row116"
">50K",49,"Local-gov",197371,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","Row117"
"<=50K",55,"Private",247552,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,56,"United-States","Row118"
"<=50K",22,"Private",102632,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,41,"United-States","Row119"
"<=50K",40,"Private",118853,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","Row121"
"<=50K",30,"Private",77143,"Bachelors",13,"Never-married","Exec-managerial","Own-child","Black","Male",0,0,40,"Germany","Row122"
">50K",29,"State-gov",267989,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","Row123"
"<=50K",19,"Private",301606,"Some-college",10,"Never-married","Other-service","Own-child","Black","Male",0,0,35,"United-States","Row124"
">50K",31,"Private",114937,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","Row127"
"<=50K",35,,129305,"HS-grad",9,"Married-civ-spouse",,"Husband","White","Male",0,0,40,"United-States","Row128"
"<=50K",39,"Private",365739,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","Row129"
"<=50K",38,"Self-emp-not-inc",120985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,35,"United-States","Row132"
"<=50K",37,"Private",254202,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","Row133"
">50K",38,"Federal-gov",125933,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran","Row135"
"<=50K",43,"Self-emp-not-inc",56920,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","Row136"
"<=50K",20,"Private",34310,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","Row138"
">50K",49,"Private",81973,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States","Row139"
"<=50K",61,"Self-emp-inc",66614,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","Row140"
"<=50K",19,"Private",316868,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"Mexico","Row142"
"<=50K",70,"Private",105376,"Some-college",10,"Never-married","Tech-support","Other-relative","White","Male",0,0,40,"United-States","Row144"
"<=50K",22,"Private",175374,"Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,24,"United-States","Row146"
"<=50K",64,"Private",181232,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States","Row148"
"<=50K",21,"Private",296158,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States","Row153"
">50K",52,,252903,"HS-grad",9,"Divorced",,"Not-in-family","White","Male",0,0,45,"United-States","Row154"
"<=50K",48,"Private",187715,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States","Row155"
"<=50K",23,"Private",214542,"Bachelors",13,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","Row156"
"<=50K",71,"Self-emp-not-inc",494223,"Some-college",10,"Separated","Sales","Unmarried","Black","Male",0,1816,2,"United-States","Row157"
"<=50K",29,"Private",191535,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","Row158"
"<=50K",42,"Private",228456,"Bachelors",13,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States","Row159"
">50K",45,"Self-emp-not-inc",201080,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","Row164"
"<=50K",39,"Federal-gov",235485,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,42,"United-States","Row166"
"<=50K",46,"State-gov",102628,"Masters",14,"Widowed","Protective-serv","Unmarried","White","Male",0,0,40,"United-States","Row167"
"<=50K",18,"Private",25828,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,16,"United-States","Row168"
"<=50K",27,"Private",124953,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,1980,40,"United-States","Row170"
"<=50K",28,"State-gov",175325,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","Row171"
">50K",51,"Private",96062,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States","Row172"
"<=50K",27,"Private",428030,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","Row173"
">50K",28,"State-gov",149624,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","Row174"
"<=50K",21,"Private",312956,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Male",0,0,40,"United-States","Row176"
"<=50K",34,"Private",483777,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States","Row177"
"<=50K",18,"Private",183930,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","Row178"
"<=50K",33,"Private",37274,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"United-States","Row179"
">50K",44,"Local-gov",181344,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,38,"United-States","Row180"
"<=50K",30,"Private",633742,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,45,"United-States","Row182"
">50K",40,"Private",286370,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","Row183"
">50K",37,"Federal-gov",29054,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,42,"United-States","Row184"
"<=50K",34,"Private",304030,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,40,"United-States","Row185"
">50K",58,"State-gov",109567,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,1,"United-States","Row189"
"<=50K",24,"Private",159567,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","Row191"
"<=50K",41,"Local-gov",523910,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","Row192"
"<=50K",47,"Private",120939,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"United-States","Row193"
"<=50K",41,"Federal-gov",130760,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States","Row194"
"<=50K",23,"Private",197387,"5th-6th",3,"Married-civ-spouse","Transport-moving","Other-relative","White","Male",0,0,40,"Mexico","Row195"
"<=50K",36,"Private",99374,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","Row196"
">50K",35,"Private",138992,"Masters",14,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",7298,0,40,"United-States","Row198"
"<=50K",24,"Self-emp-not-inc",32921,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","Row199"
"<=50K",19,,170653,"HS-grad",9,"Never-married",,"Own-child","White","Male",0,0,40,"Italy","Row201"
">50K",51,"Private",259323,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States","Row202"
">50K",36,"Private",128757,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","Black","Male",7298,0,36,"United-States","Row206"
"<=50K",35,"Private",36270,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","Row207"
"<=50K",44,"Local-gov",160943,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States","Row210"
">50K",37,"Private",208358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","Row211"
"<=50K",60,"Private",85815,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States","Row213"
">50K",54,"Self-emp-inc",125417,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","Row214"
">50K",37,"Private",635913,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,60,"United-States","Row215"
"<=50K",38,"Private",182609,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Poland","Row217"
"<=50K",45,"Private",109434,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States","Row218"
"<=50K",25,"Private",255004,"10th",6,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","Row219"
"<=50K",31,"Private",197860,"Some-college",10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","Row220"
"<=50K",64,,187656,"1st-4th",2,"Divorced",,"Not-in-family","White","Male",0,0,40,"United-States","Row221"
"<=50K",90,"Private",51744,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,2206,40,"United-States","Row222"
"<=50K",54,"Private",176681,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,20,"United-States","Row223"
"<=50K",66,"Self-emp-not-inc",167687,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,50,"United-States","Row227"
"<=50K",35,"Private",538583,"11th",7,"Separated","Transport-moving","Not-in-family","Black","Male",3674,0,40,"United-States","Row230"
"<=50K",25,"Private",159732,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,42,"United-States","Row232"
">50K",28,"Private",76714,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,55,"United-States","Row234"
"<=50K",59,"State-gov",268700,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","Row235"
">50K",41,"Private",180138,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"Iran","Row237"
">50K",38,"Local-gov",115076,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States","Row238"
"<=50K",23,"Private",115458,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","Row239"
">50K",40,"Private",347890,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","Row240"
"<=50K",24,"State-gov",273905,"Assoc-acdm",12,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,50,"United-States","Row242"
"<=50K",20,,119156,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,20,"United-States","Row243"
"<=50K",38,"Private",179488,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,1741,40,"United-States","Row244"
"<=50K",56,"Private",203580,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,,"Row245"
">50K",58,"Private",236596,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,"United-States","Row246"
">50K",40,"Private",207578,"Assoc-acdm",12,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,60,"United-States","Row248"
"<=50K",45,"Private",153141,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,,"Row249"
"<=50K",19,"Local-gov",27382,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","Row253"
"<=50K",58,"Private",259014,"Some-college",10,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,20,"United-States","Row254"
">50K",42,"Self-emp-not-inc",303044,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"Cambodia","Row255"
"<=50K",50,"Private",204518,"7th-8th",4,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","Row259"
"<=50K",45,"Private",98092,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States","Row261"
"<=50K",17,"Private",245918,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","Row262"
"<=50K",59,"Private",146013,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",4064,0,40,"United-States","Row263"
"<=50K",26,"Private",378322,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","Row264"
">50K",37,"Self-emp-inc",257295,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,75,"Thailand","Row265"
"<=50K",19,,218956,"Some-college",10,"Never-married",,"Own-child","White","Male",0,0,24,"Canada","Row266"
">50K",64,"Private",21174,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","Row267"
">50K",61,"Private",69867,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","Row270"
"<=50K",17,"Private",191260,"9th",5,"Never-married","Other-service","Own-child","White","Male",1055,0,24,"United-States","Row271"
"<=50K",50,"Self-emp-not-inc",30653,"Masters",14,"Married-civ-spouse","Farming-fishing","Husband","White","Male",2407,0,98,"United-States","Row272"
"<=50K",27,"Local-gov",209109,"Masters",14,"Never-married","Prof-specialty","Own-child","White","Male",0,0,35,"United-States","Row273"
"<=50K",43,"Private",477983,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States","Row275"
">50K",44,"Private",170924,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,"United-States","Row276"
">50K",42,"Local-gov",97688,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,40,"United-States","Row281"
"<=50K",21,"Private",205759,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","Row284"
">50K",57,"Federal-gov",425161,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States","Row285"
">50K",41,"Private",220531,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","Row286"
"<=50K",50,"Private",176609,"Some-college",10,"Divorced","Other-service","Not-in-family","White","Male",0,0,45,"United-States","Row287"
"<=50K",50,"Private",193884,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Ecuador","Row289"
"<=50K",36,"Private",200352,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","Row290"
"<=50K",29,"Local-gov",220419,"Bachelors",13,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,56,"United-States","Row292"
"<=50K",21,"Private",231931,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,45,"United-States","Row293"
"<=50K",65,"Private",111095,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,16,"United-States","Row295"
"<=50K",24,"Private",278130,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","Row298"
"<=50K",38,"Private",169469,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Male",0,0,80,"United-States","Row299"
">50K",48,"Private",146268,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",7688,0,40,"United-States","Row300"
">50K",31,"Private",217460,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States","Row302"
">50K",55,"Private",238638,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",4386,0,40,"United-States","Row303"
"<=50K",26,"Private",193945,"Assoc-acdm",12,"Never-married","Tech-support","Not-in-family","White","Male",0,0,45,"United-States","Row306"
">50K",35,"Private",193815,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","Row308"
">50K",41,"Self-emp-inc",34987,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,54,"United-States","Row309"
