"age","education","marital-status","occupation","relationship","race","sex","native-country"
29,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male","United-States"
23,"Some-college","Never-married","Machine-op-inspct","Not-in-family","White","Male","United-States"
79,"Some-college","Married-civ-spouse","Prof-specialty","Other-relative","White","Male","United-States"
27,"HS-grad","Never-married","Other-service","Own-child","White","Male","Mexico"
40,"Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
67,"10th","Married-civ-spouse",,"Husband","White","Male","United-States"
18,"11th","Never-married","Other-service","Own-child","White","Female","United-States"
31,"7th-8th","Married-civ-spouse","Farming-fishing","Husband","White","Male","United-States"
18,"HS-grad","Never-married","Sales","Not-in-family","White","Male","United-States"
52,"Bachelors","Married-civ-spouse","Other-service","Husband","White","Male","Cuba"
46,"HS-grad","Married-civ-spouse","Other-service","Wife","White","Female","United-States"
59,"HS-grad","Married-civ-spouse","Sales","Husband","White","Male","United-States"
44,"HS-grad","Divorced","Craft-repair","Not-in-family","White","Female","United-States"
53,"HS-grad","Divorced","Sales","Own-child","White","Female","United-States"
49,"HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male","United-States"
33,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
30,"9th","Never-married","Sales","Not-in-family","White","Male","United-States"
43,"Doctorate","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
57,"Assoc-voc","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
37,"Some-college","Divorced","Craft-repair","Unmarried","White","Female","United-States"
28,"Some-college","Divorced","Machine-op-inspct","Unmarried","Black","Female","United-States"
30,"HS-grad","Married-civ-spouse","Sales","Wife","Asian-Pac-Islander","Female",
34,"Bachelors","Married-civ-spouse","Protective-serv","Husband","White","Male","United-States"
29,"Some-college","Never-married","Handlers-cleaners","Not-in-family","White","Male","United-States"
48,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
37,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
48,"Assoc-acdm","Divorced","Exec-managerial","Unmarried","White","Female","England"
32,"HS-grad","Never-married","Other-service","Own-child","Black","Male","United-States"
76,"Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
44,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
47,"Masters","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
20,"Some-college","Never-married","Tech-support","Own-child","White","Female","United-States"
29,"HS-grad","Never-married","Craft-repair","Not-in-family","White","Male","United-States"
32,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
17,"10th","Never-married",,"Own-child","White","Female","United-States"
30,"11th","Never-married","Handlers-cleaners","Own-child","White","Male","United-States"
31,"HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female","United-States"
42,"HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male","United-States"
24,"Bachelors","Never-married","Sales","Other-relative","White","Male","United-States"
38,"Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
56,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male","Canada"
28,"Some-college","Married-civ-spouse","Sales","Wife","White","Female","United-States"
36,"HS-grad","Never-married","Machine-op-inspct","Own-child","White","Female","United-States"
53,"9th","Married-civ-spouse","Handlers-cleaners","Husband","White","Male","United-States"
56,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
49,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","Black","Male","United-States"
55,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
22,"HS-grad","Never-married","Craft-repair","Not-in-family","White","Male","United-States"
21,"Some-college","Never-married","Other-service","Own-child","White","Female","United-States"
40,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
30,"Bachelors","Never-married","Exec-managerial","Own-child","Black","Male","Germany"
29,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
19,"Some-college","Never-married","Other-service","Own-child","Black","Male","United-States"
47,"Bachelors","Married-civ-spouse","Exec-managerial","Wife","White","Female","United-States"
20,"Some-college","Never-married","Adm-clerical","Own-child","White","Female","United-States"
31,"Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
35,"HS-grad","Married-civ-spouse",,"Husband","White","Male","United-States"
39,"Some-college","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
28,"Assoc-acdm","Never-married","Sales","Not-in-family","White","Female","United-States"
24,"HS-grad","Never-married","Other-service","Not-in-family","White","Female","United-States"
38,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
37,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male","United-States"
46,"Assoc-acdm","Divorced","Tech-support","Not-in-family","Black","Female","United-States"
38,"Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male","Iran"
43,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
27,"Assoc-voc","Married-civ-spouse","Adm-clerical","Wife","White","Female","United-States"
20,"Some-college","Never-married","Sales","Own-child","White","Male","United-States"
49,"Some-college","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male","United-States"
61,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
27,"Some-college","Never-married","Sales","Own-child","White","Female","United-States"
19,"Some-college","Never-married","Other-service","Own-child","White","Male","Mexico"
45,"Assoc-voc","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
70,"Some-college","Never-married","Tech-support","Other-relative","White","Male","United-States"
31,"HS-grad","Never-married","Transport-moving","Unmarried","Black","Female","United-States"
22,"Some-college","Married-civ-spouse","Other-service","Husband","White","Male","United-States"
36,"HS-grad","Widowed","Other-service","Unmarried","White","Female","United-States"
64,"11th","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
43,"Some-college","Divorced",,"Not-in-family","White","Female","United-States"
47,"Some-college","Divorced","Adm-clerical","Unmarried","White","Female","Mexico"
34,"HS-grad","Never-married","Adm-clerical","Not-in-family","White","Female","United-States"
33,"Bachelors","Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female","Philippines"
21,"HS-grad","Never-married","Craft-repair","Own-child","White","Male","United-States"
52,"HS-grad","Divorced",,"Not-in-family","White","Male","United-States"
48,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
23,"Bachelors","Never-married","Handlers-cleaners","Not-in-family","White","Male","United-States"
71,"Some-college","Separated","Sales","Unmarried","Black","Male","United-States"
29,"HS-grad","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
42,"Bachelors","Separated","Other-service","Other-relative","Black","Male","United-States"
68,"1st-4th","Divorced",,"Not-in-family","White","Female","United-States"
25,"HS-grad","Never-married","Other-service","Unmarried","White","Female","United-States"
44,"Masters","Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female","United-States"
28,"HS-grad","Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female","England"
45,"Masters","Married-civ-spouse","Sales","Husband","White","Male","United-States"
36,"Some-college","Divorced","Other-service","Unmarried","White","Female","Mexico"
39,"Assoc-acdm","Never-married","Exec-managerial","Not-in-family","White","Male","United-States"
46,"Masters","Widowed","Protective-serv","Unmarried","White","Male","United-States"
18,"11th","Never-married","Handlers-cleaners","Own-child","White","Male","United-States"
66,"Assoc-voc","Widowed","Prof-specialty","Not-in-family","White","Female","United-States"
27,"HS-grad","Never-married","Other-service","Not-in-family","White","Male","United-States"
28,"HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male","United-States"
51,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
27,"Bachelors","Never-married","Craft-repair","Not-in-family","White","Male","United-States"
28,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
27,"HS-grad","Married-spouse-absent","Sales","Unmarried","White","Female","United-States"
21,"HS-grad","Never-married","Craft-repair","Own-child","Black","Male","United-States"
34,"HS-grad","Never-married","Handlers-cleaners","Not-in-family","Black","Male","United-States"
18,"HS-grad","Never-married","Other-service","Own-child","White","Male","United-States"
33,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
44,"Some-college","Married-civ-spouse","Exec-managerial","Husband","Black","Male","United-States"
43,"Some-college","Divorced","Adm-clerical","Not-in-family","White","Female","United-States"
30,"Some-college","Never-married","Craft-repair","Not-in-family","Black","Male","United-States"
40,"7th-8th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","Mexico"
37,"Some-college","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
34,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","Black","Male","United-States"
41,"Bachelors","Divorced","Exec-managerial","Not-in-family","White","Female","United-States"
53,"Bachelors","Divorced",,"Not-in-family","White","Female","United-States"
31,"Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female","United-States"
58,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
38,"Some-college","Divorced","Machine-op-inspct","Not-in-family","Black","Female","United-States"
24,"Some-college","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","United-States"
41,"Bachelors","Married-civ-spouse","Craft-repair","Husband","Black","Male","United-States"
47,"Some-college","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
41,"Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
23,"5th-6th","Married-civ-spouse","Transport-moving","Other-relative","White","Male","Mexico"
36,"Some-college","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
40,"Masters","Never-married","Exec-managerial","Not-in-family","White","Female","United-States"
35,"Masters","Married-civ-spouse","Prof-specialty","Other-relative","White","Male","United-States"
24,"HS-grad","Never-married","Sales","Not-in-family","White","Male","United-States"
26,"Masters","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
19,"HS-grad","Never-married",,"Own-child","White","Male","Italy"
51,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
42,"Some-college","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
37,"HS-grad","Divorced","Adm-clerical","Unmarried","White","Female","United-States"
18,"11th","Never-married","Sales","Own-child","White","Female","United-States"
36,"Bachelors","Married-civ-spouse","Other-service","Husband","Black","Male","United-States"
35,"HS-grad","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
58,"HS-grad","Married-civ-spouse","Sales","Wife","White","Female","United-States"
17,"11th","Never-married","Sales","Own-child","White","Female","United-States"
44,"HS-grad","Married-civ-spouse","Transport-moving","Husband","Black","Male","United-States"
37,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
35,"Some-college","Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female","United-States"
60,"HS-grad","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male","United-States"
54,"7th-8th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","United-States"
37,"Bachelors","Never-married","Exec-managerial","Not-in-family","Black","Male","United-States"
50,"Assoc-acdm","Divorced","Sales","Not-in-family","White","Female","United-States"
38,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male","Poland"
45,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
25,"10th","Never-married","Craft-repair","Not-in-family","White","Male","United-States"
31,"Some-college","Married-civ-spouse","Handlers-cleaners","Husband","White","Male","United-States"
64,"1st-4th","Divorced",,"Not-in-family","White","Male","United-States"
90,"HS-grad","Never-married","Other-service","Not-in-family","Black","Male","United-States"
54,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","Black","Male","United-States"
53,"Preschool","Never-married","Machine-op-inspct","Not-in-family","White","Female","United-States"
18,"HS-grad","Never-married","Sales","Own-child","White","Female","United-States"
60,"10th","Divorced",,"Not-in-family","Amer-Indian-Eskimo","Female","United-States"
66,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male","United-States"
75,"Assoc-voc","Widowed","Adm-clerical","Not-in-family","White","Female","Columbia"
65,"HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female","United-States"
35,"11th","Separated","Transport-moving","Not-in-family","Black","Male","United-States"
41,"HS-grad","Divorced","Sales","Unmarried","Black","Female","United-States"
25,"Some-college","Never-married","Adm-clerical","Not-in-family","White","Male","United-States"
33,"Some-college","Divorced","Craft-repair","Other-relative","Other","Female","United-States"
28,"Prof-school","Never-married","Prof-specialty","Not-in-family","White","Male","United-States"
59,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male","United-States"
40,"Some-college","Never-married","Adm-clerical","Not-in-family","White","Female","United-States"
41,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","Iran"
38,"Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
23,"HS-grad","Never-married","Transport-moving","Own-child","White","Male","United-States"
40,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
41,"HS-grad","Married-civ-spouse","Other-service","Wife","White","Female","United-States"
24,"Assoc-acdm","Married-civ-spouse","Protective-serv","Husband","White","Male","United-States"
20,"Some-college","Never-married",,"Own-child","White","Male","United-States"
38,"Some-college","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
56,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",
58,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
32,"HS-grad","Never-married","Other-service","Not-in-family","White","Female","United-States"
40,"Assoc-acdm","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
45,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",
41,"Prof-school","Married-civ-spouse","Prof-specialty","Wife","White","Female","United-States"
42,"Bachelors","Married-civ-spouse","Adm-clerical","Wife","Black","Female","United-States"
59,"10th","Widowed","Other-service","Unmarried","Black","Female","United-States"
19,"Some-college","Never-married","Adm-clerical","Own-child","White","Male","United-States"
58,"Some-college","Never-married","Transport-moving","Not-in-family","White","Male","United-States"
42,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male","Cambodia"
20,"HS-grad","Never-married","Other-service","Own-child","White","Female","United-States"
32,"HS-grad","Separated","Other-service","Not-in-family","White","Female","United-States"
45,"Assoc-voc","Widowed","Exec-managerial","Not-in-family","White","Female","United-States"
50,"7th-8th","Divorced","Craft-repair","Not-in-family","White","Male","United-States"
36,"Bachelors","Divorced","Prof-specialty","Own-child","White","Female","United-States"
45,"HS-grad","Married-civ-spouse","Sales","Husband","White","Male","United-States"
17,"11th","Never-married","Other-service","Own-child","White","Male","United-States"
59,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
26,"11th","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
37,"Some-college","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male","Thailand"
19,"Some-college","Never-married",,"Own-child","White","Male","Canada"
64,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
33,"Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
33,"HS-grad","Married-civ-spouse","Craft-repair","Wife","White","Female","United-States"
61,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
17,"9th","Never-married","Other-service","Own-child","White","Male","United-States"
50,"Masters","Married-civ-spouse","Farming-fishing","Husband","White","Male","United-States"
27,"Masters","Never-married","Prof-specialty","Own-child","White","Male","United-States"
30,"HS-grad","Divorced","Prof-specialty","Own-child","White","Female","United-States"
43,"HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male","United-States"
44,"Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
35,"Some-college","Never-married","Exec-managerial","Not-in-family","White","Female","United-States"
25,"Some-college","Never-married","Tech-support","Own-child","White","Female","United-States"
24,"Some-college","Married-civ-spouse","Machine-op-inspct","Wife","White","Female","United-States"
22,"Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female","Germany"
42,"Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
34,"Assoc-acdm","Divorced","Sales","Unmarried","Black","Female","United-States"
60,"Bachelors","Divorced","Prof-specialty","Not-in-family","White","Female","United-States"
21,"HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male","United-States"
57,"Masters","Married-civ-spouse","Sales","Husband","White","Male","United-States"
41,"Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
50,"Some-college","Divorced","Other-service","Not-in-family","White","Male","United-States"
25,"Bachelors","Never-married","Exec-managerial","Not-in-family","White","Female","United-States"
50,"7th-8th","Married-civ-spouse","Craft-repair","Husband","White","Male","Ecuador"
36,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
31,"HS-grad","Divorced","Prof-specialty","Not-in-family","White","Female","United-States"
29,"Bachelors","Never-married","Protective-serv","Not-in-family","White","Male","United-States"
21,"Some-college","Never-married","Sales","Own-child","White","Male","United-States"
27,"Bachelors","Never-married","Tech-support","Unmarried","Black","Female","United-States"
65,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
37,"Bachelors","Divorced","Sales","Not-in-family","White","Female","United-States"
39,"Masters","Married-civ-spouse",,"Wife","Asian-Pac-Islander","Female",
24,"HS-grad","Never-married","Craft-repair","Own-child","White","Male","United-States"
38,"HS-grad","Divorced","Sales","Not-in-family","White","Male","United-States"
48,"Bachelors","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
21,"Some-college","Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Female","United-States"
31,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
55,"HS-grad","Married-civ-spouse","Sales","Husband","White","Male","United-States"
24,"Some-college","Married-civ-spouse","Adm-clerical","Wife","Asian-Pac-Islander","Female","Laos"
43,"HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female","United-States"
26,"Assoc-acdm","Never-married","Tech-support","Not-in-family","White","Male","United-States"
46,"Assoc-acdm","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
35,"Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
41,"Some-college","Married-civ-spouse","Farming-fishing","Husband","White","Male","United-States"
26,"Bachelors","Never-married","Sales","Not-in-family","White","Male","United-States"
34,"Masters","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male","Taiwan"
19,"Some-college","Never-married",,"Own-child","Black","Female","United-States"
36,"Bachelors","Divorced","Prof-specialty","Not-in-family","Black","Female","United-States"
22,"Some-college","Never-married","Sales","Own-child","White","Male","United-States"
24,"Some-college","Never-married","Machine-op-inspct","Not-in-family","White","Male","United-States"
77,"Some-college","Married-civ-spouse","Sales","Husband","White","Male","United-States"
22,"5th-6th","Married-civ-spouse","Machine-op-inspct","Other-relative","White","Female","Mexico"
29,"Some-college","Never-married","Tech-support","Not-in-family","White","Female","United-States"
62,"HS-grad","Widowed","Other-service","Not-in-family","White","Female","United-States"
39,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
43,"Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
35,"HS-grad","Divorced","Transport-moving","Not-in-family","White","Male","United-States"
29,"11th","Never-married","Exec-managerial","Not-in-family","White","Female","United-States"
76,"Masters","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
63,"HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male","United-States"
23,"Assoc-voc","Never-married",,"Own-child","Black","Female","United-States"
43,"Some-college","Married-civ-spouse","Prof-specialty","Wife","White","Female","United-States"
58,"HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male","United-States"
66,"HS-grad","Never-married","Transport-moving","Not-in-family","White","Male","United-States"
41,"Some-college","Never-married","Craft-repair","Not-in-family","Black","Male","United-States"
26,"Bachelors","Never-married","Adm-clerical","Not-in-family","White","Male","United-States"
47,"Assoc-voc","Never-married","Other-service","Not-in-family","White","Male","United-States"
55,"10th","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
53,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
17,"5th-6th","Never-married","Other-service","Other-relative","White","Male","Mexico"
30,"HS-grad","Never-married","Craft-repair","Other-relative","White","Male","United-States"
49,"Masters","Never-married","Prof-specialty","Not-in-family","White","Male","United-States"
19,"HS-grad","Never-married","Sales","Unmarried","Black","Male","Haiti"
45,"HS-grad","Married-civ-spouse","Other-service","Husband","Black","Male","United-States"
26,"Assoc-acdm","Never-married","Sales","Not-in-family","White","Male","United-States"
38,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
36,"HS-grad","Married-civ-spouse","Protective-serv","Husband","White","Male","United-States"
33,"HS-grad","Never-married","Farming-fishing","Not-in-family","White","Male","United-States"
22,"Some-college","Never-married","Protective-serv","Own-child","Black","Female","United-States"
43,"Bachelors","Never-married","Sales","Not-in-family","White","Male","United-States"
67,"11th","Married-civ-spouse",,"Husband","White","Male","United-States"
30,"Assoc-voc","Divorced",,"Unmarried","White","Female","United-States"
56,"Assoc-acdm","Married-spouse-absent","Other-service","Not-in-family","White","Male","Iran"
31,"Bachelors","Never-married","Prof-specialty","Own-child","White","Male","United-States"
33,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
26,"HS-grad","Married-civ-spouse","Other-service","Husband","White","Male","United-States"
33,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
46,"11th","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
59,"Bachelors","Married-civ-spouse",,"Husband","White","Male","United-States"
38,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
65,"11th","Widowed","Other-service","Unmarried","Other","Male","United-States"
40,"Assoc-voc","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
42,"HS-grad","Married-civ-spouse","Adm-clerical","Wife","White","Female","United-States"
26,"9th","Married-civ-spouse","Craft-repair","Husband","White","Male","Portugal"
36,"10th","Married-civ-spouse","Other-service","Wife","White","Female","United-States"
